nerd01,nerd02,nerd03,nerd04,nerd05,nerd06,nerd07,nerd08,nerd09,nerd10,nerd11,nerd12,nerd13,nerd14,nerd15,nerd16,nerd17,nerd18,nerd19,nerd20,nerd21,nerd22,nerd23,nerd24,nerd25,nerd26,country,introelapse,testelapse,surveyelapse,pers.ext.1,pers.agr.1,pers.con.1,pers.neu.1,pers.ope.1,pers.ext.2,pers.agr.2,pers.con.2,pers.neu.2,pers.ope.2,vocab1,vocab2,vocab3,vocab4,vocab5,vocab6,vocab7,vocab8,vocab9,vocab10,vocab11,vocab12,vocab13,vocab14,vocab15,vocab16,education,urban,gender,engnat,age,screenw,screenh,hand,religion,orientation,voted,married,familysize,major,race_arab,race_asian,race_black,race_white,race_hispanic,race_nativeam,race_nativeau,race_other,nerdy,ASD
3,5,3,3,5,5,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,US,41,93,125,1,1,7,1,6,7,7,1,7,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,2,1,69,2520,1418,1,6,1,1,3,4,Studio Art,0,0,0,1,0,0,0,0,7,2
4,4,4,3,5,2,5,1,4,4,1,5,4,4,1,3,3,3,1,3,3,3,4,4,4,5,GB,13,131,161,5,3,5,4,5,5,5,5,6,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,4,2,2,1,50,854,534,1,1,1,1,1,3,biophysics,0,0,0,1,0,0,0,0,6,2
5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,3,5,PL,2,49,87,1,6,3,7,6,7,2,6,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,3,1,2,2,22,1366,768,1,1,2,1,1,2,biology,0,0,0,1,0,0,0,0,7,2
5,5,5,5,5,5,5,3,5,5,5,5,4,4,4,2,5,5,5,5,4,1,5,5,5,5,US,26,710,228,7,2,7,4,7,2,6,1,7,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,3,1,1,44,768,1024,1,2,1,2,3,4,Mathematics,0,0,0,1,0,0,0,0,7,2
4,4,4,4,4,4,4,4,4,5,4,4,5,5,1,1,5,5,3,5,5,4,4,5,4,0,US,6,195,424,2,5,4,3,7,6,5,5,6,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,2,1,17,1366,768,1,7,4,2,1,1,,0,0,0,1,0,0,0,0,6,2
4,4,4,4,4,4,5,3,3,4,4,4,3,5,3,4,3,4,5,4,4,2,5,5,3,4,US,410,117,113,2,3,5,5,5,5,4,3,4,4,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,2,3,1,1,18,1366,768,1,1,2,2,1,3,Geology,0,0,0,1,0,0,0,0,5,2
5,3,4,3,5,4,4,5,5,5,3,3,4,4,1,1,3,1,3,1,5,1,4,5,3,5,US,7,107,145,3,1,2,1,7,5,5,5,6,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,1,1,18,1280,720,2,1,1,2,1,2,,0,0,1,0,0,0,0,0,6,2
5,3,4,5,5,3,3,5,3,5,4,4,3,5,3,5,4,4,3,3,4,4,3,5,2,5,US,418,64,97,3,6,5,7,6,5,6,7,1,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,21,1280,800,1,12,5,1,1,3,,0,0,0,1,0,0,0,0,5,2
5,5,5,4,2,3,0,5,4,4,4,4,5,3,5,4,5,5,4,3,5,2,5,4,2,3,US,37,114,568,1,1,5,5,5,7,7,7,3,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,2,1,25,1440,900,1,7,1,2,1,4,psychology,0,0,1,0,0,0,0,0,7,2
4,5,5,5,4,3,5,4,4,5,1,4,4,5,5,4,5,5,2,5,2,3,5,5,2,5,CR,144,112,128,5,6,3,6,6,7,4,7,5,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,3,2,17,1366,768,1,1,2,2,1,3,,0,0,0,0,1,0,0,0,7,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,US,3,68,96,1,5,6,7,7,1,7,5,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,2,1,3,1,15,1366,768,1,2,2,2,1,1,,0,0,0,1,0,0,0,0,7,2
